a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
e,5,55,555,5555
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
f,6,66,666,6666
g,7,77,777,7777
a,1,11,111,1111
b,2,22,222,2222
